iter	Logloss
0	0.6930243175
1	0.6929057617
2	0.6927919109
3	0.6926815914
4	0.692571754
5	0.6924690874
6	0.6923709561
7	0.6922716958
8	0.6921804081
9	0.6920880307
10	0.6920015235
11	0.6919194283
12	0.6918362539
13	0.691758368
14	0.69168303
15	0.6916111329
16	0.6915407247
17	0.6914741894
18	0.6914033733
19	0.6913397571
20	0.6912749801
21	0.6912116329
22	0.6911498231
23	0.6910908592
24	0.6910363329
25	0.690980003
26	0.6909265323
27	0.6908748616
28	0.6908221796
29	0.6907741649
30	0.6907266019
31	0.6906800163
32	0.6906337755
33	0.6905908411
34	0.6905466313
35	0.6905040403
36	0.6904624756
37	0.6904190181
38	0.6903807724
39	0.6903426462
40	0.6903061859
41	0.6902690073
42	0.6902345209
43	0.6901998312
44	0.6901624759
45	0.6901301512
46	0.6900963928
47	0.6900654717
48	0.6900314346
49	0.6900000224
50	0.6899699226
51	0.689942047
52	0.6899125161
53	0.6898854141
54	0.6898576956
55	0.6898321646
56	0.6898004059
57	0.6897698413
58	0.6897444937
59	0.6897173362
60	0.6896923456
61	0.6896687796
62	0.6896457858
63	0.6896230368
64	0.6895962387
65	0.6895745753
66	0.6895498817
67	0.6895290322
68	0.6895081116
69	0.6894839111
70	0.6894628732
71	0.6894428879
72	0.6894232744
73	0.6894041964
74	0.6893829567
75	0.6893609753
76	0.6893422691
77	0.6893241222
78	0.6893029643
79	0.6892849128
80	0.6892646592
81	0.6892466152
82	0.689229984
83	0.6892127233
84	0.6891960282
85	0.6891800894
86	0.6891640839
87	0.6891471322
88	0.6891312082
89	0.6891147103
90	0.6890970096
91	0.6890819093
92	0.6890666103
93	0.6890495139
94	0.6890346991
95	0.6890205401
96	0.6890040591
97	0.6889897806
98	0.688975874
99	0.6889624259
100	0.6889475831
101	0.6889287227
102	0.6889156789
103	0.6889002077
104	0.6888866309
105	0.688872968
106	0.6888603464
107	0.6888457388
108	0.6888328736
109	0.6888150911
110	0.688798266
111	0.6887855084
112	0.6887732074
113	0.6887604909
114	0.6887464431
115	0.6887349446
116	0.6887230294
117	0.6887107938
118	0.6886977917
119	0.6886820094
120	0.688670714
121	0.6886599452
122	0.6886484832
123	0.6886366552
124	0.6886228095
125	0.6886099656
126	0.6886008814
127	0.6885894008
128	0.6885745023
129	0.6885635159
130	0.6885539563
131	0.6885426874
132	0.6885327383
133	0.6885185205
134	0.6885076383
135	0.688497904
136	0.6884854008
137	0.6884750523
138	0.6884647599
139	0.6884514941
140	0.6884425954
141	0.688432203
142	0.6884232625
143	0.6884097493
144	0.6883972813
145	0.6883878087
146	0.6883766663
147	0.6883674289
148	0.6883561288
149	0.6883473739
150	0.6883383918
151	0.6883289705
152	0.6883132039
153	0.6882990507
154	0.6882865651
155	0.6882722502
156	0.6882594067
157	0.6882464442
158	0.6882355424
159	0.6882250733
160	0.688213318
161	0.6882019401
162	0.6881912269
163	0.6881826077
164	0.6881724339
165	0.6881646911
166	0.6881561736
167	0.6881442116
168	0.6881363759
169	0.6881278712
170	0.6881186388
171	0.6881097724
172	0.6881012575
173	0.6880936771
174	0.6880852209
175	0.6880740451
176	0.6880639056
177	0.6880565326
178	0.688046405
179	0.6880392201
180	0.6880245962
181	0.6880170295
182	0.6880101839
183	0.6880033152
184	0.6879956695
185	0.687981628
186	0.6879720866
187	0.6879627537
188	0.6879536633
189	0.6879404881
190	0.6879315854
191	0.6879242798
192	0.6879153423
193	0.6879089961
194	0.6879028345
195	0.6878948272
196	0.6878864915
197	0.6878780733
198	0.6878700706
199	0.6878576129
200	0.6878498043
201	0.6878423391
202	0.6878360835
203	0.6878290406
204	0.6878173315
205	0.6878097736
206	0.6878023706
207	0.687795813
208	0.6877878691
209	0.6877808074
210	0.6877729017
211	0.6877658317
212	0.6877548034
213	0.6877479735
214	0.6877406138
215	0.6877300781
216	0.6877230032
217	0.6877166517
218	0.6877100923
219	0.6877026037
220	0.6876955928
221	0.6876888046
222	0.6876823337
223	0.687676877
224	0.6876706078
225	0.6876635559
226	0.6876573942
227	0.68764904
228	0.687643272
229	0.6876372967
230	0.6876309591
231	0.6876249375
232	0.6876181545
233	0.6876120307
234	0.687607077
235	0.6876009686
236	0.6875955796
237	0.6875895889
238	0.6875839824
239	0.6875803552
240	0.6875754687
241	0.6875711063
242	0.687566943
243	0.6875616873
244	0.6875555805
245	0.6875495218
246	0.6875430142
247	0.6875364603
248	0.6875300687
249	0.6875243696
250	0.6875185827
251	0.6875135734
252	0.6875078991
253	0.6875035208
254	0.6874990584
255	0.6874944384
256	0.6874900828
257	0.6874825516
258	0.6874768582
259	0.6874717883
260	0.6874670692
261	0.6874626097
262	0.6874572445
263	0.6874514851
264	0.6874457723
265	0.6874403948
266	0.6874358235
267	0.6874304178
268	0.6874255728
269	0.6874216588
270	0.6874163504
271	0.6874089758
272	0.6874038799
273	0.6873992911
274	0.6873943768
275	0.6873902218
276	0.6873847471
277	0.6873802313
278	0.6873767654
279	0.6873734143
280	0.6873681399
281	0.6873643503
282	0.6873603581
283	0.6873550346
284	0.6873508632
285	0.6873466621
286	0.6873426614
287	0.6873377738
288	0.6873326239
289	0.6873286195
290	0.68732388
291	0.6873199444
292	0.6873146292
293	0.6873105614
294	0.6873067853
295	0.6873016284
296	0.6872972028
297	0.6872922599
298	0.6872874371
299	0.6872838635
300	0.6872773707
301	0.6872705484
302	0.6872643623
303	0.6872606299
304	0.68725576
305	0.6872537179
306	0.6872496829
307	0.6872448864
308	0.6872407528
309	0.6872358565
310	0.6872326272
311	0.6872272032
312	0.6872241358
313	0.6872210436
314	0.6872164397
315	0.6872130409
316	0.6872065833
317	0.6872016703
318	0.6871984387
319	0.6871940243
320	0.6871907617
321	0.6871874233
322	0.687181677
323	0.6871771331
324	0.6871734395
325	0.6871712505
326	0.6871683873
327	0.6871649909
328	0.6871612694
329	0.6871571684
330	0.6871509107
331	0.6871475628
332	0.6871442968
333	0.6871383146
334	0.6871340052
335	0.6871307626
336	0.6871260042
337	0.6871209799
338	0.6871164205
339	0.6871124713
340	0.6871091041
341	0.6871061108
342	0.6871006997
343	0.6870967603
344	0.6870921254
345	0.6870879235
346	0.6870844355
347	0.6870801727
348	0.68707612
349	0.687072587
350	0.6870691631
351	0.6870653761
352	0.6870612304
353	0.6870576721
354	0.6870546144
355	0.6870497799
356	0.6870440232
357	0.6870405606
358	0.6870360305
359	0.6870316388
360	0.6870273985
361	0.687023505
362	0.6870201895
363	0.6870174724
364	0.687013969
365	0.687010139
366	0.6870051446
367	0.6870016493
368	0.6869984137
369	0.6869946485
370	0.6869904535
371	0.6869864424
372	0.686983526
373	0.686978978
374	0.6869764608
375	0.6869745946
376	0.6869694834
377	0.6869663775
378	0.6869628721
379	0.6869596244
380	0.686957678
381	0.6869543987
382	0.6869501551
383	0.6869462286
384	0.6869426547
385	0.6869408675
386	0.6869384098
387	0.6869342712
388	0.6869301851
389	0.6869259627
390	0.6869215028
391	0.6869166486
392	0.6869144365
393	0.6869114445
394	0.68690763
395	0.6869046678
396	0.6869007749
397	0.6868984269
398	0.686895034
399	0.6868912226
400	0.6868875195
401	0.6868843081
402	0.6868812166
403	0.6868789508
404	0.6868754884
405	0.68687087
406	0.6868672941
407	0.6868641339
408	0.686860727
409	0.6868568222
410	0.6868530282
411	0.6868495782
412	0.68684652
413	0.6868424663
414	0.6868379908
415	0.686835063
416	0.6868329319
417	0.6868290514
418	0.6868258986
419	0.6868218274
420	0.6868187946
421	0.6868153638
422	0.6868127436
423	0.6868101866
424	0.6868061503
425	0.6868020471
426	0.6867982545
427	0.6867954435
428	0.6867928809
429	0.6867896705
430	0.6867862813
431	0.6867836823
432	0.6867807509
433	0.686777387
434	0.686774363
435	0.6867716837
436	0.6867666951
437	0.6867643851
438	0.6867618608
439	0.6867583664
440	0.6867552645
441	0.6867531274
442	0.686749501
443	0.6867475693
444	0.6867440342
445	0.6867412731
446	0.6867385822
447	0.68673671
448	0.6867325664
449	0.6867310663
450	0.6867274625
451	0.6867247755
452	0.6867214879
453	0.6867186836
454	0.6867151715
455	0.6867118875
456	0.6867080284
457	0.6867033749
458	0.6867013055
459	0.6866976608
460	0.6866962273
461	0.6866929983
462	0.6866888729
463	0.686686433
464	0.6866807095
465	0.6866770903
466	0.6866738254
467	0.6866712616
468	0.686667702
469	0.6866654091
470	0.6866614155
471	0.6866583251
472	0.6866556769
473	0.6866528847
474	0.6866501734
475	0.6866463917
476	0.6866431683
477	0.6866402063
478	0.6866372227
479	0.6866360256
480	0.6866322518
481	0.6866290926
482	0.6866261959
483	0.6866240757
484	0.6866209709
485	0.6866171956
486	0.6866122591
487	0.6866099258
488	0.686608027
489	0.6866046256
490	0.6866003258
491	0.6865981664
492	0.6865946688
493	0.6865908229
494	0.6865878311
495	0.686584788
496	0.6865816785
497	0.6865778806
498	0.686574623
499	0.686571377
500	0.6865685861
501	0.6865672522
502	0.6865655978
503	0.6865635184
504	0.6865613336
505	0.6865585766
506	0.6865545233
507	0.6865519937
508	0.6865485764
509	0.686543927
510	0.6865406991
511	0.6865378167
512	0.6865365312
513	0.6865338195
514	0.6865310259
515	0.6865279434
516	0.6865246733
517	0.6865213814
518	0.6865177733
519	0.6865149112
520	0.6865113879
521	0.6865082805
522	0.686505165
523	0.6865010388
524	0.6864993497
525	0.6864960074
526	0.6864934441
527	0.6864921377
528	0.6864888799
529	0.6864863305
530	0.686483066
531	0.686479406
532	0.6864763014
533	0.6864736395
534	0.6864707467
535	0.6864686295
536	0.6864660364
537	0.6864627464
538	0.6864598323
539	0.686457089
540	0.6864533079
541	0.6864506032
542	0.6864487024
543	0.6864457773
544	0.6864441674
545	0.6864420994
546	0.6864385785
547	0.6864352982
548	0.6864333676
549	0.6864294185
550	0.6864260505
551	0.6864226251
552	0.6864182338
553	0.6864162236
554	0.686412961
555	0.6864093438
556	0.6864057439
557	0.6864027809
558	0.6863995897
559	0.6863974174
560	0.6863955777
561	0.6863921816
562	0.6863889439
563	0.6863862488
564	0.6863834891
565	0.686380899
566	0.6863777817
567	0.6863763271
568	0.6863735121
569	0.6863724864
570	0.6863695615
571	0.6863666049
572	0.6863634934
573	0.6863618235
574	0.6863582206
575	0.6863558314
576	0.6863533517
577	0.6863482031
578	0.6863469156
579	0.6863429192
580	0.6863390813
581	0.6863361637
582	0.6863323828
583	0.6863289844
584	0.6863253303
585	0.6863220686
586	0.6863190943
587	0.6863153553
588	0.6863126459
589	0.6863096505
590	0.6863066769
591	0.6863039665
592	0.6863021207
593	0.6862985061
594	0.6862955472
595	0.6862928214
596	0.6862899291
597	0.6862863623
598	0.6862836322
599	0.6862816329
600	0.6862799248
601	0.6862775983
602	0.6862765633
603	0.6862740906
604	0.6862726513
605	0.6862677903
606	0.6862643907
607	0.6862614843
608	0.6862585487
609	0.6862558841
610	0.6862526264
611	0.6862498459
612	0.6862474118
613	0.6862445545
614	0.6862436108
615	0.6862411529
616	0.6862385283
617	0.6862359892
618	0.6862320538
619	0.6862295165
620	0.6862274544
621	0.686225031
622	0.6862236511
623	0.6862203667
624	0.6862184575
625	0.6862159952
626	0.68621265
627	0.6862100825
628	0.6862074617
629	0.6862043938
630	0.6862007172
631	0.6861976487
632	0.6861930722
633	0.6861896806
634	0.6861868162
635	0.6861834334
636	0.6861806777
637	0.6861797273
638	0.686177739
639	0.6861752725
640	0.6861727279
641	0.6861700385
642	0.6861660153
643	0.6861633005
644	0.6861607659
645	0.6861581329
646	0.6861552877
647	0.6861523786
648	0.6861496425
649	0.686146553
650	0.6861437875
651	0.6861424224
652	0.6861407491
653	0.6861395882
654	0.6861366572
655	0.6861344599
656	0.6861320088
657	0.6861299171
658	0.6861275896
659	0.6861244974
660	0.6861243745
661	0.6861208134
662	0.6861196693
663	0.6861161485
664	0.6861134566
665	0.6861099315
666	0.6861081666
667	0.6861045309
668	0.6861030202
669	0.6860995726
670	0.6860964801
671	0.6860941967
672	0.6860929068
673	0.6860897355
674	0.6860875433
675	0.6860861147
676	0.6860822416
677	0.6860796116
678	0.6860776551
679	0.6860764446
680	0.6860726329
681	0.6860702619
682	0.6860676302
683	0.6860648504
684	0.6860629772
685	0.6860602341
686	0.6860570309
687	0.6860540471
688	0.6860523195
689	0.6860502986
690	0.6860480991
691	0.6860452314
692	0.6860429545
693	0.6860399312
694	0.6860361807
695	0.6860335505
696	0.686029835
697	0.686026893
698	0.686023598
699	0.6860206629
700	0.6860189384
701	0.6860171129
702	0.6860145369
703	0.6860121644
704	0.6860094742
705	0.6860067404
706	0.68600407
707	0.6860014954
708	0.6859997451
709	0.685997167
710	0.6859945644
711	0.6859912256
712	0.6859879043
713	0.6859854523
714	0.6859829295
715	0.6859797873
716	0.6859767459
717	0.6859754366
718	0.6859730979
719	0.6859698571
720	0.6859669842
721	0.6859649138
722	0.6859623356
723	0.6859602433
724	0.6859591695
725	0.6859549244
726	0.6859519625
727	0.6859495967
728	0.6859460695
729	0.6859442323
730	0.6859423278
731	0.685940269
732	0.6859379803
733	0.6859356444
734	0.6859320899
735	0.6859294774
736	0.6859269437
737	0.6859244478
738	0.6859218216
739	0.6859171996
740	0.6859137311
741	0.6859110771
742	0.6859080296
743	0.6859055021
744	0.6859026652
745	0.6859003989
746	0.6858982005
747	0.6858960346
748	0.6858923329
749	0.6858907025
750	0.6858875543
751	0.6858841578
752	0.6858821813
753	0.6858799879
754	0.6858789594
755	0.6858756703
756	0.6858732488
757	0.6858719074
758	0.6858696772
759	0.6858661238
760	0.6858637895
761	0.6858596078
762	0.6858574897
763	0.6858543914
764	0.6858515116
765	0.6858489948
766	0.6858466636
767	0.6858437012
768	0.6858401612
769	0.6858384455
770	0.6858361821
771	0.6858334979
772	0.685832256
773	0.6858291199
774	0.6858264485
775	0.6858236518
776	0.6858215782
777	0.6858192085
778	0.6858157525
779	0.6858126929
780	0.6858096055
781	0.6858070754
782	0.6858047721
783	0.6858024745
784	0.6857999405
785	0.6857973116
786	0.6857939919
787	0.6857900237
788	0.6857861051
789	0.6857836319
