iter	Passed	Remaining
0	416	2082272
1	735	1838237
2	908	1513175
3	1162	1451356
4	1385	1384246
5	1590	1324040
6	1743	1243640
7	1926	1202266
8	2151	1193302
9	2297	1146500
10	2536	1150404
11	2724	1132371
12	2900	1112783
13	3143	1119612
14	3354	1114700
15	3554	1107292
16	3751	1099502
17	4000	1107226
18	4196	1100023
19	4375	1089542
20	4586	1087532
21	4829	1092702
22	4972	1076039
23	5180	1074044
24	5400	1074652
25	5626	1076375
26	5851	1077747
27	6074	1078685
28	6223	1066720
29	6449	1068471
30	6684	1071400
31	6906	1072279
32	7132	1073544
33	7330	1070669
34	7561	1072624
35	7759	1069900
36	7965	1068491
37	8161	1065663
38	8365	1064117
39	8570	1062722
40	8793	1063606
41	9011	1063731
42	9186	1059060
43	9389	1057605
44	9593	1056319
45	9787	1054101
46	9976	1051350
47	10150	1047161
48	10340	1044835
49	10540	1043501
50	10772	1045401
51	10975	1044360
52	11181	1043642
53	11373	1041766
54	11589	1042021
55	11787	1040649
56	12011	1041631
57	12245	1043400
58	12466	1043975
59	12685	1044465
60	12906	1044972
61	13126	1045487
62	13342	1045561
63	13549	1045011
64	13759	1044649
65	13955	1043288
66	14171	1043426
67	14361	1041603
68	14555	1040213
69	14745	1038523
70	14954	1038199
71	15171	1038394
72	15373	1037591
73	15539	1034401
74	15757	1034718
75	15980	1035354
76	16189	1035107
77	16402	1035055
78	16596	1033823
79	16785	1032319
80	16996	1032197
81	17200	1031597
82	17417	1031847
83	17621	1031283
84	17830	1030997
85	18035	1030548
86	18255	1030897
87	18453	1030013
88	18671	1030312
89	18857	1028783
90	19092	1029925
91	19307	1030018
92	19541	1031090
93	19756	1031103
94	19961	1030656
95	20149	1029311
96	20356	1028937
97	20563	1028597
98	20769	1028175
99	20960	1027079
100	21179	1027325
101	21396	1027450
102	21593	1026618
103	21825	1027455
104	22038	1027398
105	22229	1026327
106	22454	1026838
107	22673	1027020
108	22879	1026641
109	23088	1026393
110	23292	1025919
111	23485	1024953
112	23649	1022806
113	23847	1022078
114	24061	1022095
115	24223	1019878
116	24454	1020624
117	24649	1019820
118	24844	1019040
119	25049	1018692
120	25180	1015345
121	25372	1014475
122	25579	1014217
123	25778	1013675
124	25970	1012868
125	26215	1014079
126	26437	1014393
127	26631	1013646
128	26839	1013448
129	27015	1012024
130	27227	1011987
131	27452	1012417
132	27660	1012192
133	27868	1011982
134	28061	1011255
135	28258	1010648
136	28459	1010207
137	28667	1010003
138	28887	1010233
139	29075	1009344
140	29274	1008823
141	29468	1008145
142	29676	1007948
143	29874	1007450
144	30084	1007305
145	30303	1007497
146	30496	1006815
147	30740	1007780
148	30926	1006877
149	31128	1006485
150	31342	1006485
151	31548	1006233
152	31771	1006506
153	31986	1006551
154	32205	1006673
155	32346	1004412
156	32496	1002422
157	32630	999976
158	32864	1000624
159	32998	998195
160	33132	995813
161	33268	993544
162	33416	991629
163	33631	991732
164	33789	990146
165	33992	989875
166	34202	989829
167	34403	989517
168	34612	989419
169	34749	987300
170	34885	985161
171	35031	983334
172	35173	981394
173	35315	979491
174	35571	980769
175	35773	980514
176	35960	979872
177	36177	980036
178	36334	978587
179	36492	977180
180	36677	976512
181	36889	976566
182	37042	975054
183	37267	975442
184	37466	975138
185	37681	975259
186	37886	975128
187	38024	973261
188	38239	973385
189	38382	971671
190	38549	970588
191	38778	971080
192	38953	970194
193	39187	970790
194	39364	969972
195	39556	969533
196	39780	969881
197	39983	969703
198	40190	969628
199	40383	969205
200	40598	969322
201	40813	969417
202	41028	969522
203	41248	969736
204	41389	968114
205	41585	967772
206	41733	966332
207	41976	967080
208	42194	967246
209	42410	967369
210	42619	967314
211	42849	967746
212	42991	966203
213	43194	966032
214	43433	966654
215	43576	965145
216	43792	965258
217	44016	965544
218	44227	965527
219	44425	965238
220	44655	965656
221	44852	965341
222	45067	965405
223	45312	966122
224	45516	965966
225	45760	966635
226	45969	966567
227	46181	966572
228	46409	966890
229	46635	967169
230	46843	967091
231	47055	967066
232	47257	966850
233	47472	966891
234	47699	967177
235	47926	967474
236	48146	967594
237	48372	967857
238	48589	967924
239	48777	967419
240	49002	967644
241	49255	968426
242	49469	968424
243	49687	968499
244	49904	968551
245	50117	968529
246	50345	968795
247	50538	968379
248	50717	967714
249	50899	967083
250	51149	967757
251	51348	967465
252	51551	967257
253	51764	967229
254	51977	967194
255	52185	967067
256	52432	967661
257	52628	967300
258	52839	967219
259	53049	967135
260	53263	967115
261	53517	967800
262	53742	967972
263	53959	967993
264	54170	967912
265	54374	967698
266	54577	967469
267	54792	967452
